,gene
548,NAV1
448,NAXE
1183,NBEAL2
82,NBL1
1453,NCBP2
1403,NCEH1
1356,NCK1
870,NCK2
969,NCKAP1
1194,NCKIPSD
1068,NCL
687,NCOA1
466,NCSTN
1885,NDFIP1
1901,NDST1
1085,NDUFA10
1870,NDUFA2
1744,NDUFAF2
1200,NDUFAF3
734,NDUFAF7
1408,NDUFB5
1635,NDUFC1
1012,NDUFS1
479,NDUFS2
1737,NDUFS4
183,NDUFS5
1694,NDUFS6
73,NECAP2
1997,NEDD9
1239,NEK4
545,NEK7
1473,NELFA
581,NENF
1297,NEPRO
450,NES
268,NEXN
961,NFE2L2
246,NFIA
1598,NFKB1
1285,NFKBIZ
1533,NFXL1
193,NFYC
1959,NHP2
534,NIBAN1
629,NID1
1721,NIPBL
1232,NISCH
472,NIT1
1280,NIT2
1170,NKTR
1394,NMD3
1546,NOA1
0,NOC2L
668,NOL10
34,NOL9
1481,NOP14
1007,NOP58
348,NOTCH2
1348,NPHP3
525,NPL
1983,NQO2
1127,NR2C2
1887,NR3C1
342,NRAS
229,NRDC
1805,NREP
1010,NRP2
1769,NSA2
1951,NSD1
1472,NSD2
1696,NSUN2
219,NSUN4
1234,NT5DC2
622,NTPCR
565,NUCKS1
120,NUDC
1929,NUDCD2
1345,NUDT16
1579,NUDT9
1123,NUP210
1561,NUP54
613,OBSCN
1051,OBSL1
1535,OCIAD1
1536,OCIAD2
667,ODC1
279,ODF2L
1105,OGG1
486,OLFML2B
340,OLFML3
1442,OPA1
635,OPN3
999,ORC2
979,ORMDL1
1146,OSBPL10
228,OSBPL9
1724,OSMR
699,OST4
1645,OTUD4
363,OTUD7B
1706,OTULIN
1705,OTULINL
1163,OXSR1
199,P3H1
1828,P4HA2
1198,P4HTM
185,PABPC4
1544,PAICS
1858,PAIP2
1451,PAK2
1665,PALLD
1797,PAM
1933,PANK3
22,PANK4
769,PAPOLG
1607,PAPSS1
40,PARK7
1417,PARL
1555,PARM1
1318,PARP14
1226,PARP3
1732,PARP8
1316,PARP9
248,PATJ
884,PAX8
1236,PBRM1
490,PBX1
416,PBXIP1
791,PCBP1
1227,PCBP4
623,PCNX2
793,PCYOX1
1449,PCYT1A
1688,PDCD6
1155,PDCD6IP
864,PDCL3
1743,PDE4D
361,PDE4DIP
1541,PDGFRA
1898,PDGFRB
1255,PDHB
1319,PDIA5
669,PDIA6
1683,PDLIM3
1589,PDLIM5
1954,PDLIM7
1523,PDS5A
223,PDZK1IP1
462,PEA15
1024,PECR
1733,PELO
39,PER3
353,PEX11B
771,PEX13
464,PEX19
1863,PFDN1
471,PFDN2
1376,PFN2
51,PGD
1810,PGGT1B
252,PGM1
1516,PGM2
1631,PGRMC2
131,PHACTR4
1822,PHAX
160,PHC2
1397,PHC3
1292,PHLDB2
1961,PHYKPL
386,PI4KB
352,PIAS3
506,PIGC
753,PIGF
1458,PIGG
265,PIGK
1358,PIK3CB
1754,PIK3R1
216,PIK3R3
1343,PIK3R4
1019,PIKFYVE
384,PIP5K1A
101,PITHD1
1802,PJA2
1582,PKD2
284,PKN2
929,PKP4
1611,PLA2G12A
787,PLEK
909,PLEKHB2
33,PLEKHG5
67,PLEKHM2
365,PLEKHO1
1742,PLK2
59,PLOD1
1368,PLOD2
1739,PLPP1
244,PLPP3
1654,PLRG1
1369,PLSCR1
1327,PLXNA1
1190,PLXNB1
1342,PLXND1
444,PMF1
415,PMVK
1032,PNKD
102,PNRC2
494,POGK
1303,POGLUT1
389,POGZ
820,POLE4
1770,POLK
1547,POLR2B
1426,POLR2H
351,POLR3C
356,POLR3GL
217,POMGNT1
1602,PPA2
1119,PPARG
197,PPCS
1658,PPID
187,PPIE
943,PPIG
198,PPIH
1798,PPIP5K2
748,PPM1B
705,PPM1G
1583,PPM1K
1229,PPM1M
476,PPOX
713,PPP1CB
553,PPP1R12B
561,PPP1R15B
760,PPP1R21
1090,PPP1R7
580,PPP2R5A
1596,PPP3CA
786,PPP3R1
1272,PPP4R2
190,PPT1
1748,PPWD1
454,PRCC
64,PRDM2
507,PRDX6
701,PREB
749,PREPL
1677,PRIMPOL
1728,PRKAA1
358,PRKAB2
1196,PRKAR2A
1243,PRKCD
751,PRKCE
1398,PRKCI
963,PRKRA
1275,PROS1
369,PRPF3
234,PRPF38A
316,PRPF38B
925,PRPF40A
1986,PRPF4B
1823,PRRC1
504,PRRC2C
322,PSMA5
167,PSMB2
388,PSMB4
1067,PSMD1
937,PSMD14
1424,PSMD2
385,PSMD4
1259,PSMD6
763,PSME4
345,PTGFRN
1576,PTPN13
907,PTPN18
1185,PTPN23
891,PTPN4
546,PTPRC
206,PTPRF
1256,PTPRG
688,PTRHD1
140,PUM1
679,PUM2
1861,PURA
1985,PXDC1
651,PXDN
1254,PXK
604,PYCR2
417,PYGO2
1584,PYURF
1203,QARS
1501,QDPR
1202,QRICH1
519,QSOX1
692,RAB10
804,RAB11FIP5
408,RAB13
784,RAB1A
1952,RAB24
1496,RAB28
566,RAB29
912,RAB3GAP1
591,RAB3GAP2
1336,RAB43
616,RAB4A
1136,RAB5A
1334,RAB7A
512,RABGAP1L
264,RABGGTB
1309,RABL3
1975,RACK1
1758,RAD17
1830,RAD50
1121,RAF1
1716,RAI14
892,RALB
874,RANBP2
334,RAP1A
1590,RAP1GDS1
1826,RAPGEF6
1932,RARS
1783,RASA1
1362,RASA2
725,RASGRP3
1221,RASSF1
1225,RBM15B
1903,RBM22
1525,RBM47
1217,RBM5
1216,RBM6
354,RBM8A
935,RBMS1
1143,RBMS3
287,RBMXL1
1513,RBPJ
511,RC3H1
104,RCAN3
75,RCC2
575,RCOR3
496,RCSD1
676,RDH14
1808,REEP5
770,REL
1515,RELL1
21,RER1
42,RERE
1040,RETREG2
824,RETSAT
863,REV1
1520,RFC1
1436,RFC4
1242,RFT1
1133,RFTN1
387,RFX5
530,RGL1
538,RGS1
539,RGS2
489,RGS5
1058,RHBDD1
568,RHEX
1207,RHOA
680,RHOB
1789,RHOBTB3
615,RHOU
1992,RIOK1
1984,RIPK1
